sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_b,julgm2_b,suspm2_b,cumprimento_meta2b,distm2_c,julgm2_c,suspm2_c,cumprimento_meta2c,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,mes_senth,IC2024,IC2025,cumprimento_meta3,quant_sent24,quant_conc24,quant_sent25,quant_conc25,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b,distm6_a,julgm6_a,suspm6_a,cumprimento_meta6a,distm7_a,julgm7_a,suspm7_a,cumprimento_meta7a,distm7_b,julgm7_b,suspm7_b,cumprimento_meta7b,distm8_a,julgm8_a,suspm8_a,cumprimento_meta8a,distm8_b,julgm8_b,suspm8_b,cumprimento_meta8b,distm10_a,julgm10_a,suspm10_a,cumprimento_meta10a,distm10_b,julgm10_b,suspm10_b,cumprimento_meta10b
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,43902,GABINETE VICE PRESIDÊNCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,78836,GABINETE 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,78838,GABINETE 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,78839,GABINETE 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,83125,GABINETE 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,83576,GABINETE 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,AMAPÁ,6147,VARA ÚNICA DE AMAPÁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,CALCOENE,6151,VARA ÚNICA DE CALÇOENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,FERREIRA GOMES,6155,VARA ÚNICA DE FERREIRA GOMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,LARANJAL DO JARI,6157,1ª [DESATIVADO]VARA DE LARANJAL DO JARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,LARANJAL DO JARI,6160,2ª [DESATIVADO]VARA DE LARANJAL DO JARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,LARANJAL DO JARI,11714,[DESATIVADO]VARA DO JUIZADO ESPECIAL CÍVEL  CRIMINAL E FAZENDA PÚBLICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MACAPA,6171,1ª VARA CRIMINAL DE MACAPÁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MACAPA,6401,6ª VARA DO JUIZADO ESPECIAL CÍVEL - SUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MACAPA,6402,7ª VARA DO JUIZADO ESPECIAL CÍVEL - UNIFAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MACAPA,13605,4ª VARA CRIMINAL DE MACAPÁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MACAPA,13721,JUIZADO ESPECIAL CRIMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,56,0,151.14709851552,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MACAPA,16275,1º JUIZADO ESPECIAL DE FAZENDA PÚBLICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MACAPA,16276,1ª VARA DO JUIZADO ESPECIAL CÍVEL - CENTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MACAPA,43865,5ª VARA DO JUIZADO ESPECIAL CÍVEL - NORTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MACAPA,78853,2º JUIZADO ESPECIAL DE FAZENDA PÚBLICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MACAPA,88289,3º JUIZADO ESPECIAL DE FAZENDA PÚBLICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,MAZAGAO,6404,VARA UNICA DE MAZAGAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,22,1,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,OIAPOQUE,6406,1ª VARA DA COMARCA DE OIAPOQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,0,134.615384615385,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,OIAPOQUE,13703,2ª VARA DA COMARCA DE OIAPOQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,PEDRA BRANCA DO AMAPARI,16409,VARA ÚNICA DE PEDRA BRANCA DO AMAPARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,PORTO GRANDE,6407,VARA ÚNICA DE PORTO GRANDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,SANTANA,6410,2ª VARA CÍVEL DE SANTANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,SANTANA,6411,1ª VARA CRIMINAL DE SANTANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,SANTANA,6414,JUIZADO ESPECIAL CÍVEL - STN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,SANTANA,16037,JUIZADO ESPECIAL CRIMINAL E VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER - STN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,123.076923076923,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,SANTANA,43905,CENTRAL ATENDIMENTO APENADOS/PROCESSADOS - SANTANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,TARTARUGALZINHO,6416,VARA ÚNICA DE TARTARUGALZINHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,JE,AP,VITORIA DO JARI,6417,VARA ÚNICA DE VITÓRIA DO JARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,TR,AP,MACAPA,43898,GABINETE RECURSAL 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,TR,AP,MACAPA,43899,GABINETE RECURSAL 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,TR,AP,MACAPA,43900,GABINETE RECURSAL 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,TR,AP,MACAPA,43901,GABINETE RECURSAL 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,TR,AP,MACAPA,83576,GABINETE 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
